['Bulbasaur'],['001'],"['Grass', 'Poison']",['Seed Pokémon'],['2′04″ (0.7 m)'],['15.2 lbs (6.9 kg)'],['Overgrow'],['Chlorophyll'],"{'(Red/Blue/Yellow)': '001 ', '(Gold/Silver/Crystal)': '226 ', '(FireRed/LeafGreen)': '001 ', '(HeartGold/SoulSilver)': '231 ', '(X/Y — Central Kalos)': '080 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '001 '}",['\n1 Special Attack '],"['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['64'],['Medium Slow'],"['Grass', 'Monster']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['45'],['200'],['294'],['49'],['92'],['216'],['49'],['92'],['216'],['65'],['121'],['251'],['65'],['121'],['251'],['45'],['85'],['207'],['318'],"['Normal → Grass/Poison = normal effectiveness', '0']","['Fire → Grass/Poison = super-effective', '2']","['Water → Grass/Poison = not very effective', '½']","['Electric → Grass/Poison = not very effective', '½']","['Grass → Grass/Poison = not very effective', '¼']","['Ice → Grass/Poison = super-effective', '2']","['Fighting → Grass/Poison = not very effective', '½']","['Poison → Grass/Poison = normal effectiveness', '0']","['Ground → Grass/Poison = normal effectiveness', '0']","['Flying → Grass/Poison = super-effective', '2']","['Psychic → Grass/Poison = super-effective', '2']","['Bug → Grass/Poison = normal effectiveness', '0']","['Rock → Grass/Poison = normal effectiveness', '0']","['Ghost → Grass/Poison = normal effectiveness', '0']","['Dragon → Grass/Poison = normal effectiveness', '0']","['Dark → Grass/Poison = normal effectiveness', '0']","['Steel → Grass/Poison = normal effectiveness', '0']","['Fairy → Grass/Poison = not very effective', '½']"
['Ivysaur'],['002'],"['Grass', 'Poison']",['Seed Pokémon'],['3′03″ (1.0 m)'],['28.7 lbs (13.0 kg)'],['Overgrow'],['Chlorophyll'],"{'(Red/Blue/Yellow)': '002 ', '(Gold/Silver/Crystal)': '227 ', '(FireRed/LeafGreen)': '002 ', '(HeartGold/SoulSilver)': '232 ', '(X/Y — Central Kalos)': '081 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '002 '}","['\n1 Special Attack, 1 Special Defense ']","['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['142'],['Medium Slow'],"['Grass', 'Monster']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['60'],['230'],['324'],['62'],['116'],['245'],['63'],['117'],['247'],['80'],['148'],['284'],['80'],['148'],['284'],['60'],['112'],['240'],['405'],"['Normal → Grass/Poison = normal effectiveness', '0']","['Fire → Grass/Poison = super-effective', '2']","['Water → Grass/Poison = not very effective', '½']","['Electric → Grass/Poison = not very effective', '½']","['Grass → Grass/Poison = not very effective', '¼']","['Ice → Grass/Poison = super-effective', '2']","['Fighting → Grass/Poison = not very effective', '½']","['Poison → Grass/Poison = normal effectiveness', '0']","['Ground → Grass/Poison = normal effectiveness', '0']","['Flying → Grass/Poison = super-effective', '2']","['Psychic → Grass/Poison = super-effective', '2']","['Bug → Grass/Poison = normal effectiveness', '0']","['Rock → Grass/Poison = normal effectiveness', '0']","['Ghost → Grass/Poison = normal effectiveness', '0']","['Dragon → Grass/Poison = normal effectiveness', '0']","['Dark → Grass/Poison = normal effectiveness', '0']","['Steel → Grass/Poison = normal effectiveness', '0']","['Fairy → Grass/Poison = not very effective', '½']"
['Charmander'],['004'],['Fire'],['Lizard Pokémon'],['2′00″ (0.6 m)'],['18.7 lbs (8.5 kg)'],['Blaze'],['Solar Power'],"{'(Red/Blue/Yellow)': '004 ', '(Gold/Silver/Crystal)': '229 ', '(FireRed/LeafGreen)': '004 ', '(HeartGold/SoulSilver)': '234 ', '(X/Y — Central Kalos)': '083 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '004 '}",['\n1 Speed '],"['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['62'],['Medium Slow'],"['Dragon', 'Monster']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['39'],['188'],['282'],['52'],['98'],['223'],['43'],['81'],['203'],['60'],['112'],['240'],['50'],['94'],['218'],['65'],['121'],['251'],['309'],"['Normal → Fire = normal effectiveness', '0']","['Fire → Fire = not very effective', '½']","['Water → Fire = super-effective', '2']","['Electric → Fire = normal effectiveness', '0']","['Grass → Fire = not very effective', '½']","['Ice → Fire = not very effective', '½']","['Fighting → Fire = normal effectiveness', '0']","['Poison → Fire = normal effectiveness', '0']","['Ground → Fire = super-effective', '2']","['Flying → Fire = normal effectiveness', '0']","['Psychic → Fire = normal effectiveness', '0']","['Bug → Fire = not very effective', '½']","['Rock → Fire = super-effective', '2']","['Ghost → Fire = normal effectiveness', '0']","['Dragon → Fire = normal effectiveness', '0']","['Dark → Fire = normal effectiveness', '0']","['Steel → Fire = not very effective', '½']","['Fairy → Fire = not very effective', '½']"
['Charmeleon'],['005'],['Fire'],['Flame Pokémon'],['3′07″ (1.1 m)'],['41.9 lbs (19.0 kg)'],['Blaze'],['Solar Power'],"{'(Red/Blue/Yellow)': '005 ', '(Gold/Silver/Crystal)': '230 ', '(FireRed/LeafGreen)': '005 ', '(HeartGold/SoulSilver)': '235 ', '(X/Y — Central Kalos)': '084 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '005 '}","['\n1 Special Attack, 1 Speed ']","['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['142'],['Medium Slow'],"['Dragon', 'Monster']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['58'],['226'],['320'],['64'],['119'],['249'],['58'],['108'],['236'],['80'],['148'],['284'],['65'],['121'],['251'],['80'],['148'],['284'],['405'],"['Normal → Fire = normal effectiveness', '0']","['Fire → Fire = not very effective', '½']","['Water → Fire = super-effective', '2']","['Electric → Fire = normal effectiveness', '0']","['Grass → Fire = not very effective', '½']","['Ice → Fire = not very effective', '½']","['Fighting → Fire = normal effectiveness', '0']","['Poison → Fire = normal effectiveness', '0']","['Ground → Fire = super-effective', '2']","['Flying → Fire = normal effectiveness', '0']","['Psychic → Fire = normal effectiveness', '0']","['Bug → Fire = not very effective', '½']","['Rock → Fire = super-effective', '2']","['Ghost → Fire = normal effectiveness', '0']","['Dragon → Fire = normal effectiveness', '0']","['Dark → Fire = normal effectiveness', '0']","['Steel → Fire = not very effective', '½']","['Fairy → Fire = not very effective', '½']"
['Squirtle'],['007'],['Water'],['Tiny Turtle Pokémon'],['1′08″ (0.5 m)'],['19.8 lbs (9.0 kg)'],['Torrent'],['Rain Dish'],"{'(Red/Blue/Yellow)': '007 ', '(Gold/Silver/Crystal)': '232 ', '(FireRed/LeafGreen)': '007 ', '(HeartGold/SoulSilver)': '237 ', '(X/Y — Central Kalos)': '086 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '007 '}",['\n1 Defense '],"['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['63'],['Medium Slow'],"['Monster', 'Water 1']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['44'],['198'],['292'],['48'],['90'],['214'],['65'],['121'],['251'],['50'],['94'],['218'],['64'],['119'],['249'],['43'],['81'],['203'],['314'],"['Normal → Water = normal effectiveness', '0']","['Fire → Water = not very effective', '½']","['Water → Water = not very effective', '½']","['Electric → Water = super-effective', '2']","['Grass → Water = super-effective', '2']","['Ice → Water = not very effective', '½']","['Fighting → Water = normal effectiveness', '0']","['Poison → Water = normal effectiveness', '0']","['Ground → Water = normal effectiveness', '0']","['Flying → Water = normal effectiveness', '0']","['Psychic → Water = normal effectiveness', '0']","['Bug → Water = normal effectiveness', '0']","['Rock → Water = normal effectiveness', '0']","['Ghost → Water = normal effectiveness', '0']","['Dragon → Water = normal effectiveness', '0']","['Dark → Water = normal effectiveness', '0']","['Steel → Water = not very effective', '½']","['Fairy → Water = normal effectiveness', '0']"
['Wartortle'],['008'],['Water'],['Turtle Pokémon'],['3′03″ (1.0 m)'],['49.6 lbs (22.5 kg)'],['Torrent'],['Rain Dish'],"{'(Red/Blue/Yellow)': '008 ', '(Gold/Silver/Crystal)': '233 ', '(FireRed/LeafGreen)': '008 ', '(HeartGold/SoulSilver)': '238 ', '(X/Y — Central Kalos)': '087 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '008 '}","['\n1 Defense, 1 Special Defense ']","['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['142'],['Medium Slow'],"['Monster', 'Water 1']","['87.5% male', '12.5% female']","['20 ', '(4,884–5,140 steps)']",['59'],['228'],['322'],['63'],['117'],['247'],['80'],['148'],['284'],['65'],['121'],['251'],['80'],['148'],['284'],['58'],['108'],['236'],['405'],"['Normal → Water = normal effectiveness', '0']","['Fire → Water = not very effective', '½']","['Water → Water = not very effective', '½']","['Electric → Water = super-effective', '2']","['Grass → Water = super-effective', '2']","['Ice → Water = not very effective', '½']","['Fighting → Water = normal effectiveness', '0']","['Poison → Water = normal effectiveness', '0']","['Ground → Water = normal effectiveness', '0']","['Flying → Water = normal effectiveness', '0']","['Psychic → Water = normal effectiveness', '0']","['Bug → Water = normal effectiveness', '0']","['Rock → Water = normal effectiveness', '0']","['Ghost → Water = normal effectiveness', '0']","['Dragon → Water = normal effectiveness', '0']","['Dark → Water = normal effectiveness', '0']","['Steel → Water = not very effective', '½']","['Fairy → Water = normal effectiveness', '0']"
['Caterpie'],['010'],['Bug'],['Worm Pokémon'],['1′00″ (0.3 m)'],['6.4 lbs (2.9 kg)'],['Shield Dust'],['Run Away'],"{'(Red/Blue/Yellow)': '010 ', '(Gold/Silver/Crystal)': '024 ', '(FireRed/LeafGreen)': '010 ', '(HeartGold/SoulSilver)': '024 ', '(X/Y — Central Kalos)': '023 ', '(Sun/Moon — Alola dex)': '017 ', '(U.Sun/U.Moon — Alola dex)': '017 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '010 '}",['\n1 HP '],"['255 ', '(33.3% with PokéBall, full HP)']","['70 ', '(normal)']",['39'],['Medium Fast'],['Bug'],"['50% male', '50% female']","['15 ', '(3,599–3,855 steps)']",['45'],['200'],['294'],['30'],['58'],['174'],['35'],['67'],['185'],['20'],['40'],['152'],['20'],['40'],['152'],['45'],['85'],['207'],['195'],"['Normal → Bug = normal effectiveness', '0']","['Fire → Bug = super-effective', '2']","['Water → Bug = normal effectiveness', '0']","['Electric → Bug = normal effectiveness', '0']","['Grass → Bug = not very effective', '½']","['Ice → Bug = normal effectiveness', '0']","['Fighting → Bug = not very effective', '½']","['Poison → Bug = normal effectiveness', '0']","['Ground → Bug = not very effective', '½']","['Flying → Bug = super-effective', '2']","['Psychic → Bug = normal effectiveness', '0']","['Bug → Bug = normal effectiveness', '0']","['Rock → Bug = super-effective', '2']","['Ghost → Bug = normal effectiveness', '0']","['Dragon → Bug = normal effectiveness', '0']","['Dark → Bug = normal effectiveness', '0']","['Steel → Bug = normal effectiveness', '0']","['Fairy → Bug = normal effectiveness', '0']"
['Metapod'],['011'],['Bug'],['Cocoon Pokémon'],['2′04″ (0.7 m)'],['21.8 lbs (9.9 kg)'],['Shed Skin'],[],"{'(Red/Blue/Yellow)': '011 ', '(Gold/Silver/Crystal)': '025 ', '(FireRed/LeafGreen)': '011 ', '(HeartGold/SoulSilver)': '025 ', '(X/Y — Central Kalos)': '024 ', '(Sun/Moon — Alola dex)': '018 ', '(U.Sun/U.Moon — Alola dex)': '018 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '011 '}",['\n2 Defense '],"['120 ', '(15.7% with PokéBall, full HP)']","['70 ', '(normal)']",['72'],['Medium Fast'],['Bug'],"['50% male', '50% female']","['15 ', '(3,599–3,855 steps)']",['50'],['210'],['304'],['20'],['40'],['152'],['55'],['103'],['229'],['25'],['49'],['163'],['25'],['49'],['163'],['30'],['58'],['174'],['205'],"['Normal → Bug = normal effectiveness', '0']","['Fire → Bug = super-effective', '2']","['Water → Bug = normal effectiveness', '0']","['Electric → Bug = normal effectiveness', '0']","['Grass → Bug = not very effective', '½']","['Ice → Bug = normal effectiveness', '0']","['Fighting → Bug = not very effective', '½']","['Poison → Bug = normal effectiveness', '0']","['Ground → Bug = not very effective', '½']","['Flying → Bug = super-effective', '2']","['Psychic → Bug = normal effectiveness', '0']","['Bug → Bug = normal effectiveness', '0']","['Rock → Bug = super-effective', '2']","['Ghost → Bug = normal effectiveness', '0']","['Dragon → Bug = normal effectiveness', '0']","['Dark → Bug = normal effectiveness', '0']","['Steel → Bug = normal effectiveness', '0']","['Fairy → Bug = normal effectiveness', '0']"
['Butterfree'],['012'],"['Bug', 'Flying']",['Butterfly Pokémon'],['3′07″ (1.1 m)'],['70.5 lbs (32.0 kg)'],['Compound Eyes'],['Tinted Lens'],"{'(Red/Blue/Yellow)': '012 ', '(Gold/Silver/Crystal)': '026 ', '(FireRed/LeafGreen)': '012 ', '(HeartGold/SoulSilver)': '026 ', '(X/Y — Central Kalos)': '025 ', '(Sun/Moon — Alola dex)': '019 ', '(U.Sun/U.Moon — Alola dex)': '019 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '012 '}","['\n2 Special Attack, 1 Special Defense ']","['45 ', '(5.9% with PokéBall, full HP)']","['70 ', '(normal)']",['178'],['Medium Fast'],['Bug'],"['50% male', '50% female']","['15 ', '(3,599–3,855 steps)']",['60'],['230'],['324'],['45'],['85'],['207'],['50'],['94'],['218'],['90'],['166'],['306'],['80'],['148'],['284'],['70'],['130'],['262'],['395'],"['Normal → Bug/Flying = normal effectiveness', '0']","['Fire → Bug/Flying = super-effective', '2']","['Water → Bug/Flying = normal effectiveness', '0']","['Electric → Bug/Flying = super-effective', '2']","['Grass → Bug/Flying = not very effective', '¼']","['Ice → Bug/Flying = super-effective', '2']","['Fighting → Bug/Flying = not very effective', '¼']","['Poison → Bug/Flying = normal effectiveness', '0']","['Ground → Bug/Flying = no effect', '0']","['Flying → Bug/Flying = super-effective', '2']","['Psychic → Bug/Flying = normal effectiveness', '0']","['Bug → Bug/Flying = not very effective', '½']","['Rock → Bug/Flying = super-effective', '4']","['Ghost → Bug/Flying = normal effectiveness', '0']","['Dragon → Bug/Flying = normal effectiveness', '0']","['Dark → Bug/Flying = normal effectiveness', '0']","['Steel → Bug/Flying = normal effectiveness', '0']","['Fairy → Bug/Flying = normal effectiveness', '0']"
['Weedle'],['013'],"['Bug', 'Poison']",['Hairy Bug Pokémon'],['1′00″ (0.3 m)'],['7.1 lbs (3.2 kg)'],['Shield Dust'],['Run Away'],"{'(Red/Blue/Yellow)': '013 ', '(Gold/Silver/Crystal)': '027 ', '(FireRed/LeafGreen)': '013 ', '(HeartGold/SoulSilver)': '027 ', '(X/Y — Central Kalos)': '026 ', ""(Let's Go Pikachu/Let's Go Eevee)"": '013 '}",['\n1 Speed '],"['255 ', '(33.3% with PokéBall, full HP)']","['70 ', '(normal)']",['39'],['Medium Fast'],['Bug'],"['50% male', '50% female']","['15 ', '(3,599–3,855 steps)']",['40'],['190'],['284'],['35'],['67'],['185'],['30'],['58'],['174'],['20'],['40'],['152'],['20'],['40'],['152'],['50'],['94'],['218'],['195'],"['Normal → Bug/Poison = normal effectiveness', '0']","['Fire → Bug/Poison = super-effective', '2']","['Water → Bug/Poison = normal effectiveness', '0']","['Electric → Bug/Poison = normal effectiveness', '0']","['Grass → Bug/Poison = not very effective', '¼']","['Ice → Bug/Poison = normal effectiveness', '0']","['Fighting → Bug/Poison = not very effective', '¼']","['Poison → Bug/Poison = not very effective', '½']","['Ground → Bug/Poison = normal effectiveness', '0']","['Flying → Bug/Poison = super-effective', '2']","['Psychic → Bug/Poison = super-effective', '2']","['Bug → Bug/Poison = not very effective', '½']","['Rock → Bug/Poison = super-effective', '2']","['Ghost → Bug/Poison = normal effectiveness', '0']","['Dragon → Bug/Poison = normal effectiveness', '0']","['Dark → Bug/Poison = normal effectiveness', '0']","['Steel → Bug/Poison = normal effectiveness', '0']","['Fairy → Bug/Poison = not very effective', '½']"
